Frame ID,QR ID,QR 2D,QR 3D: dist,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
273,0,"[[408.0, 63.0], [467.0, 59.0], [472.0, 119.0], [415.0, 123.0]]",0.8108200332245792,-155.32392500078245,8.62195569708998,-1.6977061553945232
274,0,"[[412.0, 31.0], [470.0, 27.0], [473.0, 86.0], [415.0, 90.0]]",0.8249080827608488,-176.788574800097,5.762130764684966,-2.338767020017039
287,0,"[[228.0, 27.0], [288.0, 23.0], [294.0, 83.0], [236.0, 87.0]]",0.8479043347412181,-150.69863680482158,-15.083478222309628,-9.305206589838983
288,0,"[[122.0, 12.0], [187.0, 8.0], [195.0, 68.0], [131.0, 74.0]]",0.8194002727406655,178.53385304023539,-7.952923094975684,-7.726692776711431
308,0,"[[681.0, 56.0], [746.0, 55.0], [745.0, 118.0], [681.0, 117.0]]",0.776014049486783,-142.77128840542295,23.395816860058005,6.926497065178076
309,0,"[[812.0, 35.0], [883.0, 32.0], [877.0, 99.0], [807.0, 101.0]]",0.7908697068802492,-175.88155081726376,20.443994419133553,4.503897691339047
316,1,"[[615.0, 84.0], [640.0, 88.0], [637.0, 114.0], [611.0, 112.0]]",1.8257134843298,-168.2451280923247,-6.853330399600081,4.47931359286467
317,1,"[[672.0, 99.0], [698.0, 103.0], [694.0, 129.0], [669.0, 126.0]]",1.8459773145210139,-174.62875037074855,-3.9999344978760902,6.345366125630502
318,1,"[[702.0, 120.0], [727.0, 122.0], [724.0, 149.0], [698.0, 146.0]]",1.8703786188284663,-159.61118257975255,28.620671569960695,13.482290926765673
319,1,"[[705.0, 120.0], [732.0, 123.0], [728.0, 151.0], [702.0, 151.0]]",1.6831033316908985,-164.5561610389076,-11.788741355488872,-0.03846523037991175
320,1,"[[712.0, 116.0], [740.0, 118.0], [736.0, 147.0], [708.0, 144.0]]",1.7484678029307619,-161.9571842580778,25.08026417964943,11.920026981329693
321,1,"[[737.0, 115.0], [765.0, 116.0], [762.0, 145.0], [735.0, 143.0]]",1.7607306763243566,-156.42828278154892,33.06981037187262,12.613765867613406
322,1,"[[752.0, 111.0], [781.0, 113.0], [778.0, 142.0], [750.0, 141.0]]",1.7096420526149816,-172.10451355877086,-1.2511019937381478,2.442332221899769
